time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,surface,radius_cm
151140,0.170662061748,0.170242738600,0.168979176222,0.166853015573,0.163830367773,0.159857139770,0.154848059011,0.148667138359,0.141088926117,0.131704767008,0.119656440711,0.102528158404,,,,,,,,,0.053947288789,1.200000000000
151200,0.170613055444,0.170193932347,0.168930970925,0.166805815163,0.163784582222,0.159813189346,0.154806381831,0.148628203572,0.141053258039,0.131672996058,0.119629429670,0.102507440705,,,,,,,,,0.053943458841,1.200000000000
151260,0.170564097252,0.170145173977,0.168882812831,0.166758660820,0.163738841149,0.159769281348,0.154764744562,0.148589305692,0.141017623343,0.131641254366,0.119602442976,0.102486741127,,,,,,,,,0.053939634474,1.200000000000
151320,0.170515187099,0.170096463420,0.168834701869,0.166711552475,0.163693144485,0.159725415714,0.154723147143,0.148550444665,0.140982021982,0.131609541889,0.119575480595,0.102466059645,,,,,,,,,0.053935815677,1.200000000000
151380,0.170466324912,0.170047800602,0.168786637967,0.166664490059,0.163647492164,0.159681592380,0.154681589516,0.148511620438,0.140946453907,0.131577858584,0.119548542493,0.102445396235,,,,,,,,,0.053932002438,1.200000000000
151440,0.170417510618,0.169999185452,0.168738621056,0.166617473503,0.163601884121,0.159637811283,0.154640071621,0.148472832957,0.140910919070,0.131546204411,0.119521628634,0.102424750870,,,,,,,,,0.053928194747,1.200000000000
151500,0.170368744146,0.169950617898,0.168690651063,0.166570502739,0.163556320288,0.159594072361,0.154598593401,0.148434082166,0.140875417422,0.131514579328,0.119494738986,0.102404123526,,,,,,,,,0.053924392592,1.200000000000
151560,0.170320025423,0.169902097868,0.168642727920,0.166523577697,0.163510800600,0.159550375551,0.154557154796,0.148395368013,0.140839948916,0.131482983291,0.119467873513,0.102383514179,,,,,,,,,0.053920595964,1.200000000000
151620,0.170271354378,0.169853625291,0.168594851554,0.166476698309,0.163465324990,0.159506720789,0.154515755748,0.148356690444,0.140804513502,0.131451416261,0.119441032182,0.102362922804,,,,,,,,,0.053916804852,1.200000000000
151680,0.170222730938,0.169805200095,0.168547021896,0.166429864506,0.163419893394,0.159463108015,0.154474396198,0.148318049405,0.140769111133,0.131419878196,0.119414214958,0.102342349376,,,,,,,,,0.053913019244,1.200000000000
151740,0.170174155033,0.169756822209,0.168499238876,0.166383076221,0.163374505744,0.159419537164,0.154433076088,0.148279444843,0.140733741761,0.131388369053,0.119387421808,0.102321793870,,,,,,,,,0.053909239131,1.200000000000
151800,0.170125626589,0.169708491561,0.168451502424,0.166336333384,0.163329161976,0.159376008175,0.154391795360,0.148240876704,0.140698405339,0.131356888792,0.119360652698,0.102301256263,,,,,,,,,0.053905464501,1.200000000000
151860,0.170077145537,0.169660208081,0.168403812469,0.166289635928,0.163283862024,0.159332520986,0.154350553955,0.148202344935,0.140663101818,0.131325437371,0.119333907595,0.102280736528,,,,,,,,,0.053901695344,1.200000000000
