status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.55000000007,368,68,104.642,426.6
RUNNING,0.033333333,2.55000000002,437,85,121.794,529.3
RUNNING,0.050000000,2.55000000006,508,104,140.748,530.8
RUNNING,0.066666667,2.55000000007,578,124,160.306,532.4
RUNNING,0.083333333,2.55000000005,660,145,181.752,532.4
RUNNING,0.100000000,2.55000000001,739,165,202.238,532.4
RUNNING,0.116666667,2.55000000009,801,182,218.967,532.4
RUNNING,0.133333333,2.55000000001,872,201,237.965,538.0
RUNNING,0.150000000,2.55000000007,950,222,259.138,538.0
RUNNING,0.166666667,2.55000000003,1020,242,279.016,538.0
RUNNING,0.500000000,2.54993412226,2470,627,665.523,538.1
RUNNING,1.000000000,2.52573763265,4566,1194,1223.674,542.9
RUNNING,0.016666667,2.55000000007,368,68,42.907,371.3
RUNNING,0.033333333,2.55000000002,437,85,51.221,417.6
RUNNING,0.016666667,2.55000000007,368,68,40.873,348.4
RUNNING,0.033333333,2.55000000002,437,85,49.171,395.6
RUNNING,0.050000000,2.55000000006,508,104,58.265,395.6
RUNNING,0.066666667,2.55000000007,578,124,67.657,395.7
RUNNING,0.083333333,2.55000000005,660,145,77.749,395.7
RUNNING,0.100000000,2.55000000001,739,165,87.542,395.7
RUNNING,0.116666667,2.55000000009,801,182,95.572,395.7
RUNNING,0.133333333,2.55000000001,872,201,104.696,404.0
RUNNING,0.150000000,2.55000000007,950,222,114.740,404.0
RUNNING,0.166666667,2.55000000003,1020,242,124.315,404.0
RUNNING,0.500000000,2.54993412226,2470,622,307.472,410.7
RUNNING,0.016666667,2.55000000007,368,68,31.915,2942.2
RUNNING,0.033333333,2.55000000002,437,85,38.267,3606.6
RUNNING,0.050000000,2.55000000006,508,104,45.260,4330.7
RUNNING,0.066666667,2.55000000007,578,124,52.513,5095.0
RUNNING,0.083333333,2.55000000005,660,145,60.448,5897.8
RUNNING,0.100000000,2.55000000001,739,165,68.015,6662.6
RUNNING,0.116666667,2.55000000009,801,182,74.182,7307.4
RUNNING,0.133333333,2.55000000001,872,201,81.229,8038.5
RUNNING,0.150000000,2.55000000007,950,222,88.968,8841.8
RUNNING,0.166666667,2.55000000003,1020,242,96.232,9606.5
RUNNING,0.500000000,2.54993412226,2470,622,238.562,24132.4
RUNNING,0.016666667,2.55000000007,368,68,29.815,2922.5
RUNNING,0.033333333,2.55000000002,437,85,36.166,3579.2
RUNNING,0.050000000,2.55000000006,508,104,43.080,4301.5
RUNNING,0.066666667,2.55000000007,578,124,50.254,5066.2
RUNNING,0.083333333,2.55000000005,660,145,58.062,5869.1
RUNNING,0.100000000,2.55000000001,739,165,65.518,6633.8
RUNNING,0.116666667,2.55000000009,801,182,71.579,7278.2
RUNNING,0.133333333,2.55000000001,872,201,78.592,8009.3
RUNNING,0.150000000,2.55000000007,950,222,86.299,8812.6
RUNNING,0.166666667,2.55000000003,1020,242,93.450,9576.9
RUNNING,0.500000000,2.54993412226,2470,622,235.361,24103.6
RUNNING,0.016666667,2.55000000007,368,68,29.702,2921.6
RUNNING,0.033333333,2.55000000002,437,85,35.932,3578.8
RUNNING,0.050000000,2.55000000006,508,104,42.806,4300.6
RUNNING,0.066666667,2.55000000007,578,124,49.808,5064.9
RUNNING,0.083333333,2.55000000005,660,145,57.371,5867.8
RUNNING,0.100000000,2.55000000001,739,165,64.766,6632.9
RUNNING,0.116666667,2.55000000009,801,182,70.768,7277.8
RUNNING,0.133333333,2.55000000001,872,201,77.576,8008.9
RUNNING,0.150000000,2.55000000007,950,222,85.152,8811.7
RUNNING,0.166666667,2.55000000003,1020,242,92.305,9576.4
RUNNING,0.500000000,2.54993412226,2470,622,231.910,24102.3
RUNNING,0.016666667,2.55000000007,368,68,41.051,331.9
RUNNING,0.033333333,2.55000000002,437,85,49.231,376.8
RUNNING,0.050000000,2.55000000006,508,104,58.250,376.8
RUNNING,0.066666667,2.55000000007,578,124,67.577,376.8
RUNNING,0.083333333,2.55000000005,660,145,77.703,376.8
RUNNING,0.100000000,2.55000000001,739,165,87.407,376.9
RUNNING,0.116666667,2.55000000009,801,182,95.412,376.9
RUNNING,0.133333333,2.55000000001,872,201,104.551,376.9
RUNNING,0.150000000,2.55000000007,950,222,114.682,376.9
RUNNING,0.166666667,2.55000000003,1020,242,124.437,376.9
RUNNING,0.500000000,2.54993412226,2470,622,308.539,378.8
RUNNING,1.000000000,2.52573763265,4568,1178,574.959,379.5
RUNNING,1.500000000,2.38606243543,6577,1701,828.055,379.5
RUNNING,2.000000000,2.17084165235,8558,2235,1089.365,381.1
RUNNING,2.500000000,1.95662271014,10715,2814,1378.670,381.7
RUNNING,3.000000000,1.76615463656,12991,3405,1678.887,381.9
RUNNING,3.500000000,1.59962367846,15169,3978,1964.086,383.5
RUNNING,4.000000000,1.45358872386,17428,4586,2247.189,384.4
RUNNING,4.517353559,1.32023636956,17660,4648,2275.688,384.7
RUNNING,5.034505830,1.20238588468,17678,4659,2279.986,385.2
RUNNING,5.503482166,1.10714150868,17691,4667,2283.087,386.1
RUNNING,6.004820303,1.01612038904,17713,4687,2290.153,387.4
RUNNING,6.501993727,0.935654095326,17762,4725,2304.183,389.0
RUNNING,7.001910706,0.863494367921,17811,4743,2312.057,390.0
RUNNING,7.509524373,0.798212713042,17843,4753,2316.584,390.8
RUNNING,8.014505715,0.7403731954,17866,4761,2320.120,391.4
RUNNING,8.513154745,0.689440174421,17884,4767,2322.820,392.5
