status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.5500028836,268,52,10.792,257.0
RUNNING,0.033333333,2.55000043039,318,65,12.605,278.1
RUNNING,0.050000000,2.55000010159,368,78,14.455,295.2
RUNNING,0.066666667,2.55000019836,412,90,16.178,295.2
RUNNING,0.083333333,2.55000005927,467,106,18.460,295.2
RUNNING,0.100000000,2.55000029175,519,120,20.514,295.2
RUNNING,0.116666667,2.55000035295,558,131,22.106,295.2
RUNNING,0.133333333,2.5500000144,607,146,24.169,295.2
RUNNING,0.150000000,2.55000008515,658,159,26.085,295.2
RUNNING,0.166666667,2.55000023924,702,172,27.917,295.2
RUNNING,0.500000000,2.54993444461,1654,435,66.339,295.2
RUNNING,1.000000000,2.5257382437,3027,823,123.433,295.2
RUNNING,1.500000000,2.38606188318,4352,1197,179.101,302.7
RUNNING,2.000000000,2.17084125384,5671,1577,235.125,304.9
RUNNING,2.500000000,1.95662253926,7112,1978,294.594,306.4
RUNNING,3.000000000,1.76615456229,8625,2402,356.829,315.6
RUNNING,3.500000000,1.59962362983,10073,2814,417.104,315.6
RUNNING,4.000000000,1.45358867267,11574,3241,480.533,315.6
RUNNING,4.500502065,1.32432366491,11728,3285,487.172,315.6
RUNNING,5.047768855,1.19954722303,11744,3291,488.080,315.6
RUNNING,5.535990153,1.10091490141,11755,3298,489.011,315.6
RUNNING,6.001097959,1.01675809313,11772,3310,490.550,315.6
RUNNING,6.501816397,0.935681063082,11806,3341,494.277,315.6
RUNNING,7.006754518,0.86283473107,11843,3354,496.294,315.6
RUNNING,7.504650144,0.798804010325,11866,3361,497.408,315.6
RUNNING,8.014594496,0.740363416088,11883,3366,498.241,315.6
RUNNING,8.511130687,0.689635234447,11896,3371,498.991,315.6
RUNNING,9.012739656,0.643887671552,11907,3374,499.504,315.6
RUNNING,9.551202276,0.600229594881,11917,3378,500.103,315.6
RUNNING,10.035784170,0.565215356482,11925,3380,500.464,315.6
RUNNING,10.512955207,0.53424658147,11932,3383,500.907,315.6
RUNNING,11.036678751,0.503813981415,11939,3386,501.356,315.6
RUNNING,11.519660081,0.478674450554,11945,3388,501.672,315.6
RUNNING,12.019660081,0.455263973375,11951,3390,502.001,315.6
RUNNING,12.519660081,0.434208884998,11957,3391,502.217,315.6
RUNNING,13.019660081,0.415235342714,11963,3393,502.536,315.6
RUNNING,13.519660081,0.398100869689,11969,3395,502.861,315.6
RUNNING,14.019660081,0.382591245134,11975,3397,503.198,315.6
RUNNING,14.519660081,0.368517633995,11981,3398,503.410,315.6
RUNNING,15.019660081,0.3557139332,11987,3400,503.716,315.6
RUNNING,15.519660081,0.344034317846,11993,3401,503.941,315.6
RUNNING,16.019660081,0.333350975981,11999,3403,504.254,315.6
RUNNING,16.519660081,0.323552025039,12005,3404,504.451,315.6
RUNNING,17.019660081,0.314539606145,12011,3405,504.658,315.6
RUNNING,17.519660081,0.306228153939,12017,3406,504.893,315.6
RUNNING,18.019660081,0.298542839028,12023,3408,505.223,315.6
RUNNING,18.519660081,0.291418178263,12029,3409,505.397,315.6
RUNNING,19.019660081,0.284796805308,12035,3410,505.601,315.6
RUNNING,19.519660081,0.278628391395,12041,3411,505.811,315.6
RUNNING,20.019660081,0.272868704118,12047,3412,506.016,315.6
RUNNING,20.519660081,0.267478790961,12053,3413,506.225,315.6
RUNNING,21.019660081,0.262424273887,12059,3414,506.453,315.6
RUNNING,21.519660081,0.257674741623,12065,3416,506.756,318.8
RUNNING,22.019660081,0.253203227088,12071,3417,506.929,318.8
RUNNING,22.519660081,0.248985758456,12077,3418,507.103,318.8
RUNNING,23.019660081,0.245000973561,12083,3419,507.283,318.8
RUNNING,23.519660081,0.241229788593,12089,3420,507.459,318.8
RUNNING,24.019660081,0.237655113178,12095,3422,507.761,324.1
RUNNING,24.519660081,0.234261605056,12101,3423,507.929,324.1
RUNNING,25.019660081,0.231035458512,12107,3424,508.095,324.1
RUNNING,25.519660081,0.227964221607,12113,3425,508.266,324.1
RUNNING,26.019660081,0.225036637967,12119,3426,508.431,325.7
RUNNING,26.519660081,0.222242509552,12125,3427,508.601,329.2
RUNNING,27.019660081,0.21957257737,12131,3428,508.775,332.7
RUNNING,27.519660081,0.217018417549,12137,3429,508.943,336.7
RUNNING,28.019660081,0.2145723506,12143,3430,509.149,339.7
