status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.55000000006,268,53,79.055,426.7
RUNNING,0.033333333,2.55,315,66,91.128,537.9
RUNNING,0.050000000,2.55,362,79,103.373,537.9
RUNNING,0.066666667,2.55,404,91,114.625,537.9
RUNNING,0.083333333,2.55,456,105,127.768,537.9
RUNNING,0.100000000,2.55,506,118,140.483,537.9
RUNNING,0.116666667,2.55,543,129,150.584,537.9
RUNNING,0.133333333,2.55,590,142,162.840,537.9
RUNNING,0.150000000,2.55,638,155,175.293,537.9
RUNNING,0.166666667,2.55,679,166,185.821,537.9
RUNNING,0.500000000,2.54993412226,1565,417,419.575,538.2
RUNNING,1.000000000,2.5257376548,2846,773,749.286,538.5
RUNNING,1.500000000,2.38606422568,4070,1126,1073.722,542.5
RUNNING,0.016666667,2.55000000006,268,53,32.577,370.9
RUNNING,0.033333333,2.55,315,66,38.397,417.8
RUNNING,0.050000000,2.55,362,79,44.320,420.8
RUNNING,0.066666667,2.55,404,91,49.750,420.9
RUNNING,0.016666667,2.55000000006,268,53,30.708,349.1
RUNNING,0.033333333,2.55,315,66,36.498,396.5
RUNNING,0.050000000,2.55,362,79,42.420,396.5
RUNNING,0.066666667,2.55,404,91,47.869,396.5
RUNNING,0.083333333,2.55,456,105,54.263,396.5
RUNNING,0.100000000,2.55,506,118,60.267,396.5
RUNNING,0.116666667,2.55,543,129,65.123,396.5
RUNNING,0.133333333,2.55,590,142,71.102,396.5
RUNNING,0.150000000,2.55,638,155,77.150,402.1
RUNNING,0.166666667,2.55,679,166,82.280,402.1
RUNNING,0.500000000,2.54993412226,1569,418,196.587,402.8
RUNNING,1.000000000,2.52573765481,2854,780,360.883,402.8
RUNNING,0.016666667,2.55000000006,268,53,23.761,2370.3
RUNNING,0.033333333,2.55,315,66,28.077,2877.4
RUNNING,0.050000000,2.55,362,79,32.511,3375.8
RUNNING,0.066666667,2.55,404,91,36.577,3839.9
RUNNING,0.083333333,2.55,456,105,41.347,4370.2
RUNNING,0.100000000,2.55,506,118,45.914,4866.8
RUNNING,0.116666667,2.55,543,129,49.547,5287.6
RUNNING,0.133333333,2.55,590,142,53.994,5784.6
RUNNING,0.150000000,2.55,638,155,58.451,6281.2
