status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.55000001366,271,53,35.993,326.6
RUNNING,0.033333333,2.55000000128,320,67,42.160,397.0
RUNNING,0.050000000,2.55000000179,372,83,49.224,397.0
RUNNING,0.066666667,2.55000000052,416,95,54.544,397.0
RUNNING,0.083333333,2.55000000472,471,111,61.688,397.0
RUNNING,0.100000000,2.55000000083,523,125,67.964,397.0
RUNNING,0.116666667,2.55000000483,562,136,72.987,397.0
RUNNING,0.133333333,2.55000000095,611,151,79.578,397.0
RUNNING,0.150000000,2.55000000133,663,165,85.958,397.0
RUNNING,0.166666667,2.5500000047,708,176,90.999,397.0
RUNNING,0.500000000,2.54993416943,1654,444,210.961,397.0
RUNNING,1.000000000,2.52573772062,3027,835,386.040,402.2
RUNNING,1.500000000,2.38606235542,4357,1211,554.144,404.9
RUNNING,2.000000000,2.17084159486,5670,1587,718.026,406.7
RUNNING,2.500000000,1.9566226856,7110,1991,895.316,407.5
RUNNING,3.000000000,1.76615462596,8617,2416,1080.476,430.6
RUNNING,3.500000000,1.59962367154,10064,2826,1258.573,434.4
RUNNING,0.016666667,2.55000001366,271,53,15.874,297.5
RUNNING,0.033333333,2.55000000128,320,67,19.063,339.8
RUNNING,0.050000000,2.55000000179,372,83,22.727,339.8
RUNNING,0.066666667,2.55000000052,416,95,25.570,339.8
RUNNING,0.083333333,2.55000000472,471,111,29.347,339.8
RUNNING,0.100000000,2.55000000083,523,125,32.675,339.8
RUNNING,0.116666667,2.55000000483,562,136,35.368,339.8
RUNNING,0.133333333,2.55000000095,611,151,38.855,339.8
RUNNING,0.150000000,2.55000000133,663,165,42.218,339.8
RUNNING,0.166666667,2.5500000047,708,176,44.929,339.8
RUNNING,0.016666667,2.55000001366,271,53,13.996,273.9
RUNNING,0.033333333,2.55000000128,320,67,17.151,313.9
RUNNING,0.050000000,2.55000000179,372,83,20.753,313.9
RUNNING,0.066666667,2.55000000052,416,95,23.520,313.9
RUNNING,0.083333333,2.55000000472,471,111,27.222,317.2
RUNNING,0.100000000,2.55000000083,523,125,30.492,317.2
RUNNING,0.116666667,2.55000000483,562,136,33.095,317.2
RUNNING,0.133333333,2.55000000095,611,151,36.488,317.2
RUNNING,0.150000000,2.55000000133,663,165,39.754,317.2
RUNNING,0.166666667,2.5500000047,708,176,42.354,317.2
RUNNING,0.500000000,2.54993416943,1654,445,105.372,323.5
RUNNING,1.000000000,2.52573772061,3024,839,197.734,323.5
RUNNING,1.500000000,2.38606235544,4350,1220,287.496,331.1
RUNNING,2.000000000,2.17084159489,5667,1597,374.837,331.1
RUNNING,2.500000000,1.95662268561,7101,2007,466.953,338.3
RUNNING,0.016666667,2.55000001366,271,53,16.334,298.1
RUNNING,0.033333333,2.55000000128,320,67,19.633,336.9
RUNNING,0.050000000,2.55000000179,372,83,23.439,336.9
RUNNING,0.066666667,2.55000000052,416,95,26.374,336.9
RUNNING,0.083333333,2.55000000472,471,111,30.167,336.9
RUNNING,0.100000000,2.55000000083,523,125,33.570,336.9
RUNNING,0.116666667,2.55000000483,562,136,36.261,336.9
RUNNING,0.133333333,2.55000000095,611,151,39.834,338.1
RUNNING,0.150000000,2.55000000133,663,165,43.273,340.2
RUNNING,0.166666667,2.5500000047,708,176,45.939,340.2
RUNNING,0.500000000,2.54993416943,1654,445,110.860,355.8
RUNNING,1.000000000,2.52573772061,3024,839,206.446,366.3
RUNNING,1.500000000,2.38606235544,4350,1220,300.018,366.3
RUNNING,2.000000000,2.17084159489,5667,1597,393.571,366.3
RUNNING,0.016666667,2.55000001366,271,53,13.646,266.9
RUNNING,0.033333333,2.55000000128,320,67,16.740,319.6
RUNNING,0.050000000,2.55000000179,372,83,20.290,319.6
RUNNING,0.066666667,2.55000000052,416,95,23.034,319.6
RUNNING,0.083333333,2.55000000472,471,111,26.621,319.6
RUNNING,0.100000000,2.55000000083,523,125,29.816,319.6
RUNNING,0.116666667,2.55000000483,562,136,32.323,319.6
RUNNING,0.133333333,2.55000000095,611,151,35.651,319.6
RUNNING,0.150000000,2.55000000133,663,165,38.830,319.6
RUNNING,0.166666667,2.5500000047,708,176,41.359,319.6
RUNNING,0.500000000,2.54993416943,1654,445,102.527,319.6
RUNNING,1.000000000,2.52573772061,3024,839,192.142,319.6
RUNNING,1.500000000,2.38606235544,4350,1220,279.380,319.6
RUNNING,2.000000000,2.17084159489,5667,1597,365.998,348.6
RUNNING,0.016666667,2.55000001366,271,53,13.732,265.6
RUNNING,0.033333333,2.55000000128,320,67,16.869,318.3
RUNNING,0.050000000,2.55000000179,372,83,20.443,318.3
RUNNING,0.066666667,2.55000000052,416,95,23.218,318.3
RUNNING,0.083333333,2.55000000472,471,111,26.845,318.3
RUNNING,0.100000000,2.55000000083,523,125,30.064,318.3
RUNNING,0.116666667,2.55000000483,562,136,32.622,318.3
RUNNING,0.133333333,2.55000000095,611,151,36.007,318.3
RUNNING,0.150000000,2.55000000133,663,165,39.252,318.3
RUNNING,0.166666667,2.5500000047,708,176,41.826,318.3
RUNNING,0.500000000,2.54993416943,1654,445,103.383,318.3
RUNNING,1.000000000,2.52573772061,3024,839,193.424,318.3
RUNNING,1.500000000,2.38606235544,4350,1220,281.028,318.3
RUNNING,0.016666667,2.55000001366,271,53,14.433,265.0
RUNNING,0.033333333,2.55000000128,320,67,17.629,288.5
RUNNING,0.050000000,2.55000000179,372,83,21.257,288.5
RUNNING,0.066666667,2.55000000052,416,95,24.055,288.5
RUNNING,0.083333333,2.55000000472,471,111,27.767,288.5
RUNNING,0.100000000,2.55000000083,523,125,31.040,288.5
RUNNING,0.116666667,2.55000000483,562,136,33.700,288.5
RUNNING,0.133333333,2.55000000095,611,151,37.149,288.5
RUNNING,0.150000000,2.55000000133,663,165,40.455,288.5
RUNNING,0.166666667,2.5500000047,708,176,43.098,288.5
RUNNING,0.500000000,2.54993416943,1654,445,106.304,288.9
RUNNING,1.000000000,2.52573772061,3024,839,202.338,289.8
RUNNING,1.500000000,2.38606235544,4350,1220,296.904,291.2
RUNNING,2.000000000,2.17084159489,5667,1597,389.045,292.2
RUNNING,2.500000000,1.95662268561,7101,2007,486.049,293.3
RUNNING,3.000000000,1.76615462597,8606,2433,586.735,294.5
RUNNING,3.500000000,1.59962367156,10060,2837,682.608,295.4
RUNNING,4.000000000,1.45358871658,11561,3261,782.984,296.1
RUNNING,4.509030895,1.32225299125,11720,3303,793.375,296.5
RUNNING,5.045611886,1.20000833369,11732,3309,794.757,298.0
RUNNING,5.513113793,1.10529179572,11741,3316,796.221,299.4
RUNNING,6.006528942,1.01582778689,11761,3331,799.375,300.3
RUNNING,6.509083923,0.934571715579,11799,3361,805.574,302.0
