时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
163080,0.166092532853,0.165983750740,0.165656612222,0.165108705329,0.164335888217,0.163332093473,0.162089025921,0.160595719400,0.158837896830,0.156797043477,0.154449044362,0.151762130623,0.148693678010,0.145184992806,0.141152330261,0.136470254045,0.130937641770,0.124197959174,0.115507885292,0.102743514567,0.054176702263
163140,0.166064624629,0.165955874226,0.165628830977,0.165081083335,0.164308490192,0.163304985210,0.162062274692,0.160569394444,0.158812069962,0.156771789873,0.154424443602,0.151738268123,0.148670647051,0.145162897536,0.141131290356,0.136450412418,0.130919178449,0.124181119444,0.115493048540,0.102731433663,0.054173695816
163200,0.166036737238,0.165928018517,0.165601070455,0.165053481931,0.164281112566,0.163277897099,0.162035543313,0.160543088978,0.158786262164,0.156746554857,0.154399860884,0.151714423052,0.148647632833,0.145140818238,0.141110265561,0.136430584934,0.130900728169,0.124164291474,0.115478221997,0.102719360888,0.054170692930
163260,0.166008870655,0.165900183589,0.165573330634,0.165025901090,0.164253755313,0.163250829116,0.162008831759,0.160516802977,0.158760473412,0.156721338406,0.154375296188,0.151690595388,0.148624635336,0.145118754892,0.141089255860,0.136410771576,0.130882290916,0.124147475250,0.115463405651,0.102707296235,0.054167693600
163320,0.165981024854,0.165872369417,0.165545611486,0.164998340789,0.164226418409,0.163223781237,0.161982140007,0.160490536419,0.158734703684,0.156696140500,0.154350749491,0.151666785110,0.148601654539,0.145096707480,0.141068261234,0.136390972327,0.130863866672,0.124130670760,0.115448599489,0.102695239695,0.054164697821
163380,0.165953199809,0.165844575974,0.165517912987,0.164970801001,0.164199101829,0.163196753436,0.161955468033,0.160464289279,0.158708952956,0.156670961115,0.154326220771,0.151642992199,0.148578690423,0.145074675983,0.141047281666,0.136371187171,0.130845455424,0.124113877990,0.115433803502,0.102683191258,0.054161705585
163440,0.165925395497,0.165816803236,0.165490235113,0.164943281702,0.164171805549,0.163169745691,0.161928815813,0.160438061535,0.158683221206,0.156645800229,0.154301710007,0.151619216633,0.148555742968,0.145052660382,0.141026317137,0.136351416092,0.130827057156,0.124097096926,0.115419017676,0.102671150914,0.054158716887
163500,0.165897611891,0.165789051178,0.165462577837,0.164915782868,0.164144529544,0.163142757976,0.161902183322,0.160411853163,0.158657508412,0.156620657819,0.154277217179,0.151595458391,0.148532812153,0.145030660658,0.141005367631,0.136331659073,0.130808671854,0.124080327554,0.115404242000,0.102659118656,0.054155731723
163560,0.165869848966,0.165761319774,0.165434941136,0.164888304473,0.164117273790,0.163115790267,0.161875570538,0.160385664139,0.158631814549,0.156595533865,0.154252742263,0.151571717453,0.148509897960,0.145008676793,0.140984433128,0.136311916097,0.130790299501,0.124063569861,0.115389476463,0.102647094474,0.054152750085
163620,0.165842106698,0.165733609001,0.165407324984,0.164860846493,0.164090038261,0.163088842541,0.161848977436,0.160359494441,0.158606139596,0.156570428343,0.154228285239,0.151547993799,0.148487000369,0.144986708767,0.140963513613,0.136292187149,0.130771940083,0.124046823834,0.115374721053,0.102635078358,0.054149771968
163680,0.165814385061,0.165705918831,0.165379729356,0.164833408903,0.164062822934,0.163061914772,0.161822403993,0.160333344044,0.158580483530,0.156545341231,0.154203846085,0.151524287406,0.148464119360,0.144964756562,0.140942609067,0.136272472210,0.130753593585,0.124030089459,0.115359975759,0.102623070300,0.054146797367
163740,0.165786684031,0.165678249242,0.165352154227,0.164805991679,0.164035627784,0.163035006937,0.161795850184,0.160307212927,0.158554846328,0.156520272508,0.154179424781,0.151500598256,0.148441254912,0.144942820159,0.140921719472,0.136252771266,0.130735259992,0.124013366723,0.115345240569,0.102611070290,0.054143826275
163800,0.165759003582,0.165650600207,0.165324599574,0.164778594795,0.164008452787,0.163008119013,0.161769315987,0.160281101065,0.158529227967,0.156495222151,0.154155021303,0.151476926327,0.148418407007,0.144920899539,0.140900844810,0.136233084300,0.130716939289,0.123996655612,0.115330515471,0.102599078320,0.054140858688
163860,0.165731343690,0.165622971702,0.165297065370,0.164751218227,0.163981297918,0.162981250974,0.161742801377,0.160255008436,0.158503628425,0.156470190139,0.154130635633,0.151453271599,0.148395575625,0.144898994684,0.140879985065,0.136213411295,0.130698631460,0.123979956113,0.115315800453,0.102587094381,0.054137894599
163920,0.165703704329,0.165595363703,0.165269551591,0.164723861951,0.163954163153,0.162954402797,0.161716306332,0.160228935016,0.158478047679,0.156445176448,0.154106267747,0.151429634051,0.148372760746,0.144877105575,0.140859140219,0.136193752235,0.130680336492,0.123963268212,0.115301095506,0.102575118463,0.054134934002
163980,0.165676085476,0.165567776183,0.165242058212,0.164696525942,0.163927048468,0.162927574457,0.161689830827,0.160202880782,0.158452485707,0.156420181059,0.154081917625,0.151406013664,0.148349962351,0.144855232194,0.140838310254,0.136174107103,0.130662054368,0.123946591896,0.115286400616,0.102563150558,0.054131976892
164040,0.165648487104,0.165540209119,0.165214585210,0.164669210176,0.163899953839,0.162900765932,0.161663374839,0.160176845711,0.158426942486,0.156395203947,0.154057585246,0.151382410416,0.148327180419,0.144833374522,0.140817495153,0.136154475885,0.130643785074,0.123929927153,0.115271715773,0.102551190656,0.054129023264
164100,0.165620909190,0.165512662486,0.165187132558,0.164641914628,0.163872879241,0.162873977197,0.161636938344,0.160150829781,0.158401417993,0.156370245093,0.154033270588,0.151358824287,0.148304414933,0.144811532540,0.140796694898,0.136134858562,0.130625528596,0.123913273967,0.115257040964,0.102539238749,0.054126073112
164160,0.165593351708,0.165485136259,0.165159700234,0.164614639274,0.163845824650,0.162847208229,0.161610521319,0.160124832968,0.158375912207,0.156345304473,0.154008973631,0.151335255257,0.148281665871,0.144789706230,0.140775909471,0.136115255120,0.130607284918,0.123896632327,0.115242376180,0.102527294828,0.054123126429
164220,0.165565814634,0.165457630414,0.165132288211,0.164587384089,0.163818790043,0.162820459003,0.161584123741,0.160098855249,0.158350425105,0.156320382067,0.153984694353,0.151311703306,0.148258933215,0.144767895574,0.140755138856,0.136095665541,0.130589054025,0.123880002218,0.115227721407,0.102515358883,0.054120183211
