time_s,R_m,half_length_m,C_min_node,Cmax_lower,Cmax_upper,volume_reference_mean
60.0,0.01995766666666667,0.125,2.0794273405787296,2.550000001854868,2.550000001854868,2.5394070001185156
120.0,0.019915333333333333,0.125,1.9230008917780697,2.5500000000622354,2.5500000000622354,2.529897939902067
180.0,0.019873000000000002,0.125,1.8158338579783773,2.550000000532742,2.550000000532742,2.5209901977000913
240.0,0.019830666666666667,0.125,1.7331877578229806,2.550000000000074,2.550000000000074,2.5125192846712237
300.0,0.019788333333333335,0.125,1.6661136250545883,2.5500000000016483,2.5500000000016483,2.5043930513957298
360.0,0.019746,0.125,1.6098223110731136,2.550000000012532,2.550000000012532,2.496549244326314
420.0,0.019703666666666668,0.125,1.5613426696467712,2.550000000051673,2.550000000051673,2.4889448801538863
480.0,0.019661333333333333,0.125,1.5187792612639792,2.5500000001454253,2.5500000001454253,2.481547690460217
540.0,0.019619,0.125,1.4810938382815335,2.5500000003157393,2.5500000003157393,2.474332929163669
600.0,0.019576666666666666,0.125,1.4474919163215574,2.5500000005643058,2.5500000005643058,2.467279267044021
660.0,0.019534333333333334,0.125,1.4173533869584236,2.5500000008686965,2.5500000008686965,2.4603688441751377
720.0,0.019492,0.125,1.3900434478395656,2.550000001125126,2.550000001125126,2.45358627351837
780.0,0.019449666666666667,0.125,1.3651204895509232,2.550000001050469,2.550000001050469,2.4469198499937814
840.0,0.019407333333333332,0.125,1.3422383584042121,2.550000000000009,2.550000000000009,2.440359381419825
900.0,0.019365,0.125,1.321054183082173,2.5500000000000287,2.5500000000000287,2.433896317941792
960.0,0.01932266666666667,0.125,1.3015436937491949,2.5500000000000806,2.5500000000000806,2.427521976093861
1020.0,0.019280333333333333,0.125,1.2834179176920368,2.550000000000194,2.550000000000194,2.421228787511156
1080.0,0.019238,0.125,1.2667286779035352,2.550000000000412,2.550000000000412,2.415011421156282
1140.0,0.019195666666666666,0.125,1.251273944437195,2.5500000000007734,2.5500000000007734,2.4088626636691677
1200.0,0.019153333333333335,0.125,1.2368378189416152,2.5500000000012495,2.5500000000012495,2.4027776883304037
1260.0,0.019111,0.125,1.2232165431630728,2.5500000000015497,2.5500000000015497,2.396751835848704
1320.0,0.019068666666666668,0.125,1.2105291951650872,2.5500000000004888,2.5500000000004888,2.3907807541142696
1380.0,0.019026333333333333,0.125,1.198748773852339,2.55,2.55,2.384860577165127
1440.0,0.018984,0.125,1.187555391190118,2.55,2.55,2.378987456455887
1500.0,0.018941666666666666,0.125,1.1768167696497074,2.5500000000000003,2.5500000000000003,2.373158399713448
1560.0,0.018899333333333334,0.125,1.1666511228403493,2.5500000000000007,2.5500000000000007,2.367371692848017
1620.0,0.018857,0.125,1.157004155907374,2.550000000000001,2.550000000000001,2.361624252563454
1680.0,0.018814666666666667,0.125,1.1478244433754985,2.5500000000000016,2.5500000000000016,2.355914078993474
1740.0,0.018772333333333335,0.125,1.1393103980357864,2.5500000000000016,2.5500000000000016,2.350238410368425
1800.0,0.01873,0.125,1.131342608311162,2.55,2.55,2.34459423114504
1860.0,0.018703666666666667,0.125,1.1237011299553181,2.55,2.55,2.338981836038453
1920.0,0.018677333333333334,0.125,1.1162275539080948,2.55,2.55,2.333402660519358
1980.0,0.018651,0.125,1.108945339401912,2.55,2.55,2.327856350200981
2040.0,0.018624666666666668,0.125,1.1020070027493727,2.55,2.55,2.3223406913010036
2100.0,0.018598333333333335,0.125,1.0953022703463247,2.55,2.55,2.316854033003427
2160.0,0.018572,0.125,1.0888135275481314,2.5500000000000003,2.5500000000000003,2.3113958494727482
2220.0,0.01854566666666667,0.125,1.082691545433588,2.55,2.55,2.305965094292664
2280.0,0.018519333333333332,0.125,1.0768021513768198,2.5499999999999994,2.5499999999999994,2.300559850426219
2340.0,0.018493,0.125,1.0711519624714254,2.549999999999999,2.549999999999999,2.2951781290134976
2400.0,0.018466666666666666,0.125,1.0657390655567105,2.549999999999996,2.549999999999996,2.289818579516222
2460.0,0.018440333333333333,0.125,1.060563486964669,2.549999999999987,2.549999999999987,2.284481085524569
2520.0,0.018414,0.125,1.055594856719915,2.5499999999999634,2.5499999999999634,2.279164127850267
2580.0,0.018387666666666667,0.125,1.0506557074091747,2.549999999999902,2.549999999999902,2.273867484470399
2640.0,0.018361333333333334,0.125,1.0459254473059194,2.5499999999997542,2.5499999999997542,2.268590627231437
2700.0,0.018335,0.125,1.0414149354370918,2.5499999999994056,2.5499999999994056,2.2633314257459105
2760.0,0.018308666666666668,0.125,1.0369220264714725,2.549999999998616,2.549999999998616,2.2580898503473854
2820.0,0.018282333333333334,0.125,1.032460595989741,2.5499999999968876,2.5499999999968876,2.252866445106812
2880.0,0.018256,0.125,1.0281978119034894,2.549999999993231,2.549999999993231,2.247659852458619
2940.0,0.01822966666666667,0.125,1.0240223403956858,2.5499999999857375,2.5499999999857375,2.2424696857315944
3000.0,0.018203333333333335,0.125,1.0198265520897003,2.5499999999708396,2.5499999999708396,2.2372956799668122
3060.0,0.018177000000000002,0.125,1.01576060480769,2.549999999942049,2.549999999942049,2.2321376345209174
3120.0,0.01815066666666667,0.125,1.0119196266414023,2.549999999887893,2.549999999887893,2.226994705980795
3180.0,0.018124333333333333,0.125,1.0083066743254734,2.549999999788595,2.549999999788595,2.221865244581378
3240.0,0.018098,0.125,1.0047252482276574,2.5499999996108955,2.5499999996108955,2.216749716082263
3300.0,0.018071666666666666,0.125,1.001224732616132,2.549999999300137,2.549999999300137,2.211647113256646
3360.0,0.018045333333333333,0.125,0.9977028654958131,2.5499999987684503,2.5499999987684503,2.2065569232741717
3420.0,0.018019,0.125,0.9942085515241774,2.5499999978774732,2.5499999978774732,2.2014792012082927
3480.0,0.017992666666666667,0.125,0.9906965907298722,2.5499999964136006,2.5499999964136006,2.1964137289661565
3540.0,0.017966333333333334,0.125,0.9871794498620291,2.5499999940532296,2.5499999940532296,2.1913609891549335
3600.0,0.01794,0.125,0.9838407653960483,2.549999990314871,2.549999990314871,2.186319917612259
3660.0,0.017909666666666667,0.125,0.9806510085879089,2.5499999844927874,2.5499999844927874,2.1812891668399064
3720.0,0.017879333333333334,0.125,0.9774929730462463,2.549999975569221,2.549999975569221,2.1762685977632326
3780.0,0.017849,0.125,0.9744593443388595,2.5499999621016847,2.5499999621016847,2.1712576955798175
3840.0,0.017818666666666667,0.125,0.971441328232704,2.5499999420743404,2.5499999420743404,2.166255541938476
3900.0,0.017788333333333333,0.125,0.9684061020038808,2.549999912709593,2.549999912709593,2.1612617586009977
3960.0,0.017758,0.125,0.9654137041669439,2.5499998702315283,2.5499998702315283,2.156277024273573
4020.0,0.017727666666666666,0.125,0.9623828896483303,2.549999809572942,2.549999809572942,2.151300882662574
4080.0,0.017697333333333336,0.125,0.9592831910443903,2.5499997240178907,2.5499997240178907,2.146333258973286
4140.0,0.017667000000000002,0.125,0.9563062124629989,2.549999604771528,2.549999604771528,2.1413750011822685
4200.0,0.01763666666666667,0.125,0.9533896215082256,2.549999440449392,2.549999440449392,2.136425394566608
4260.0,0.017606333333333335,0.125,0.9504916441557859,2.5499992164801277,2.5499992164801277,2.131483825526865
4320.0,0.017576,0.125,0.9477666612045152,2.549998914413016,2.549998914413016,2.126549970284544
4380.0,0.017545666666666668,0.125,0.9449857152265619,2.549998511120573,2.549998511120573,2.121623484271326
4440.0,0.017515333333333334,0.125,0.9420672126771505,2.549997977892814,2.549997977892814,2.116704991044973
4500.0,0.017485,0.125,0.939219395257889,2.5499972794134096,2.5499972794134096,2.111794715306046
4560.0,0.017454666666666667,0.125,0.9364609646334676,2.549996372623415,2.549996372623415,2.1068925304509754
4620.0,0.017424333333333333,0.125,0.9337805789214189,2.5499952054990644,2.5499952054990644,2.101997496067581
4680.0,0.017394,0.125,0.9311782602962616,2.549993715728909,2.549993715728909,2.0971095323203066
4740.0,0.017363666666666666,0.125,0.9286000859820853,2.54999182926735,2.54999182926735,2.092228934803955
4800.0,0.017333333333333333,0.125,0.9260074013626266,2.549989458768092,2.549989458768092,2.0873541444272785
4860.0,0.017303,0.125,0.9233357697623175,2.549986501913963,2.549986501913963,2.082485349383319
4920.0,0.017272666666666665,0.125,0.9207414586860587,2.5499828396773396,2.5499828396773396,2.07762352003634
4980.0,0.017242333333333332,0.125,0.9181045179551502,2.5499783345301226,2.5499783345301226,2.0727688139363636
5040.0,0.017212,0.125,0.9153269961466396,2.549972828664951,2.549972828664951,2.0679215620446687
5100.0,0.017181666666666668,0.125,0.9125883248113361,2.5499661421948367,2.5499661421948367,2.0630817648329423
5160.0,0.017151333333333334,0.125,0.9100142640691228,2.5499580713768677,2.5499580713768677,2.05824879817136
5220.0,0.017121,0.125,0.9074982378594542,2.5499483870455224,2.5499483870455224,2.0534217233330674
5280.0,0.017090666666666667,0.125,0.9048505912883938,2.549936833025179,2.549936833025179,2.0486008009302346
5340.0,0.017060333333333334,0.125,0.9022698043321975,2.5499231242379263,2.5499231242379263,2.043786840092979
5400.0,0.01703,0.125,0.8996610751819857,2.54990694478012,2.54990694478012,2.0389791679100684
5460.0,0.017004,0.125,0.8971221145088556,2.5498879517970447,2.5498879517970447,2.034178717776494
5520.0,0.016978,0.125,0.8946220603351335,2.549865772570269,2.549865772570269,2.0293863568469614
5580.0,0.016952000000000002,0.125,0.892011863870847,2.5498399973333927,2.5498399973333927,2.0246008872881323
5640.0,0.016926,0.125,0.8894094465214073,2.5498101820139865,2.5498101820139865,2.0198230272064928
5700.0,0.0169,0.125,0.8868496490757822,2.549775847189728,2.549775847189728,2.0150529058637003
5760.0,0.016874,0.125,0.8843209038449951,2.54973647783013,2.54973647783013,2.0102903917752357
5820.0,0.016848000000000002,0.125,0.8816599191125887,2.549691523379994,2.549691523379994,2.0055356747004787
5880.0,0.016822,0.125,0.8790239650070666,2.5496403974410753,2.5496403974410753,2.0007895461534493
5940.0,0.016796,0.125,0.8765452984922399,2.5495824776923817,2.5495824776923817,1.9960512151053469
6000.0,0.01677,0.125,0.8742196313610158,2.5495171072792373,2.5495171072792373,1.9913195529810173
6060.0,0.016744000000000002,0.125,0.8718019199098705,2.5494435960107227,2.5494435960107227,1.9865953697053402
6120.0,0.016718,0.125,0.869238244844104,2.549361218697365,2.549361218697365,1.9818779723372328
6180.0,0.016692,0.125,0.8667739018247949,2.5492692129329058,2.5492692129329058,1.9771682269751385
6240.0,0.016666,0.125,0.8643892445181747,2.549166781154213,2.549166781154213,1.9724655249753202
6300.0,0.016640000000000002,0.125,0.8619509326557491,2.5490530954222583,2.5490530954222583,1.967770003948255
6360.0,0.016614,0.125,0.8594147621107197,2.5489272989199145,2.5489272989199145,1.9630809798704136
6420.0,0.016588,0.125,0.8568368926117866,2.548788504748254,2.548788504748254,1.9583992624344162
6480.0,0.016562,0.125,0.8542013796221232,2.54863579858001,2.54863579858001,1.9537253521188123
6540.0,0.016536000000000002,0.125,0.8517535432588057,2.548468243844196,2.548468243844196,1.9490593745611495
6600.0,0.01651,0.125,0.8493247382417195,2.5482848871400985,2.5482848871400985,1.9444003044520928
6660.0,0.016484,0.125,0.846785589995524,2.548084761116062,2.548084761116062,1.9397486470030054
6720.0,0.016458,0.125,0.8442487201962324,2.547866880425173,2.547866880425173,1.9351053025006018
6780.0,0.016432000000000002,0.125,0.8417923896527159,2.547630239659106,2.547630239659106,1.930469300396723
6840.0,0.016406,0.125,0.8393066415798328,2.547373822290534,2.547373822290534,1.9258404576908223
6900.0,0.01638,0.125,0.8369107197906674,2.547096606173615,2.547096606173615,1.921219453454724
6960.0,0.016354,0.125,0.8346001708897243,2.546797561096567,2.546797561096567,1.9166053502813654
7020.0,0.016328000000000002,0.125,0.8322308102844475,2.546475649554756,2.546475649554756,1.9119974941447686
7080.0,0.016302,0.125,0.829806059119537,2.5461298255590448,2.5461298255590448,1.907396316910209
7140.0,0.016276,0.125,0.8274025382978956,2.5457590307040108,2.5457590307040108,1.9028029441081897
7200.0,0.01625,0.125,0.8249884336697159,2.545362201801479,2.545362201801479,1.8982158570122665
7260.0,0.016238,0.125,0.8225248348461133,2.5449386598959807,2.5449386598959807,1.8936368682305127
7320.0,0.016226,0.125,0.8199326255093853,2.5444878350226596,2.5444878350226596,1.8890694615334391
7380.0,0.016214,0.125,0.8173453977686738,2.5440088453386718,2.5440088453386718,1.8845151493950087
