time_s,R_m,half_length_m,C_min_node,Cmax_lower,Cmax_upper,volume_reference_mean
60.0,0.01995766666666667,0.125,1.6920977040988658,2.550000003655632,2.550000003655632,2.538563539771345
120.0,0.019915333333333333,0.125,1.4445971515111673,2.5500000717705595,2.5500000717705595,2.52830421782416
180.0,0.019873000000000002,0.125,1.2862048740421088,2.5500000291628617,2.5500000291628617,2.51869959869427
240.0,0.019830666666666667,0.125,1.170096234723617,2.5500000019519447,2.5500000019519447,2.5095713041309975
300.0,0.019788333333333335,0.125,1.0802275974574316,2.550000000365483,2.550000000365483,2.5008192981244632
360.0,0.019746,0.125,1.0077635333534543,2.5500000001453866,2.5500000001453866,2.4923759209066048
420.0,0.019703666666666668,0.125,0.9473851152541298,2.5500000000532714,2.5500000000532714,2.4841944171071866
480.0,0.019661333333333333,0.125,0.8957795213858614,2.550000000094976,2.550000000094976,2.476239674121209
540.0,0.019619,0.125,0.8514153061505603,2.5500000002184082,2.5500000002184082,2.4684847600450963
600.0,0.019576666666666666,0.125,0.8129661325680807,2.5500000000331684,2.5500000000331684,2.460906455013804
660.0,0.019534333333333334,0.125,0.7794603819628765,2.5500000001644274,2.5500000001644274,2.453485309411546
720.0,0.019492,0.125,0.7497402225326818,2.550000000254122,2.550000000254122,2.446204561352273
780.0,0.019449666666666667,0.125,0.723150907250515,2.5500000000221723,2.5500000000221723,2.4390514532251175
840.0,0.019407333333333332,0.125,0.6991304496906224,2.5500000001014667,2.5500000001014667,2.432014881807789
900.0,0.019365,0.125,0.6771638519928417,2.550000000252781,2.550000000252781,2.425085537746746
960.0,0.01932266666666667,0.125,0.6573604406327661,2.5500000002914924,2.5500000002914924,2.4182539859685743
1020.0,0.019280333333333333,0.125,0.6391728197944722,2.55000000003967,2.55000000003967,2.4115119952257134
1080.0,0.019238,0.125,0.6228709559194265,2.5500000000685645,2.5500000000685645,2.4048537605993934
1140.0,0.019195666666666666,0.125,0.608022913481001,2.5500000001753653,2.5500000001753653,2.3982714491386656
1200.0,0.019153333333333335,0.125,0.5943133468061795,2.5500000003198737,2.5500000003198737,2.3917598068578547
1260.0,0.019111,0.125,0.5813871685902169,2.5500000003663845,2.5500000003663845,2.385313775536013
1320.0,0.019068666666666668,0.125,0.5696011766492376,2.5500000000725436,2.5500000000725436,2.378928640557773
1380.0,0.019026333333333333,0.125,0.5588761986465028,2.5500000000403724,2.5500000000403724,2.3726002101885486
1440.0,0.018984,0.125,0.5486406234698192,2.5500000001028855,2.5500000001028855,2.366324312798639
1500.0,0.018941666666666666,0.125,0.538708532199627,2.5500000002090486,2.5500000002090486,2.360097712287846
1560.0,0.018899333333333334,0.125,0.529404663147124,2.550000000347017,2.550000000347017,2.353918561303117
1620.0,0.018857,0.125,0.5205992581793352,2.5500000004446677,2.5500000004446677,2.347783540510318
1680.0,0.018814666666666667,0.125,0.5122621097023924,2.5500000003497543,2.5500000003497543,2.3416904959016795
1740.0,0.018772333333333332,0.125,0.504780989603827,2.550000000078432,2.550000000078432,2.3356364596364694
1800.0,0.01873,0.125,0.49789353643064277,2.550000000045216,2.550000000045216,2.329618182926807
1860.0,0.018703666666666667,0.125,0.49136520582239157,2.550000000098943,2.550000000098943,2.3236357655189384
1920.0,0.018677333333333334,0.125,0.48485626697771916,2.5500000001855994,2.5500000001855994,2.3176905175861195
1980.0,0.018651,0.125,0.4784570195402353,2.5500000003063996,2.5500000003063996,2.3117820496249952
2040.0,0.018624666666666668,0.125,0.47243325167018063,2.550000000442154,2.550000000442154,2.305907991154389
2100.0,0.018598333333333335,0.125,0.4665698699674887,2.5500000005352037,2.5500000005352037,2.300066573515745
2160.0,0.018572,0.125,0.4608768757203332,2.5500000004687906,2.5500000004687906,2.29425723932943
2220.0,0.01854566666666667,0.125,0.4556458211936509,2.550000000107173,2.550000000107173,2.288478878086721
2280.0,0.018519333333333332,0.125,0.4505871585909971,2.5500000000462815,2.5500000000462815,2.282729439831729
2340.0,0.018493,0.125,0.44575530197276947,2.550000000065479,2.550000000065479,2.2770067960125937
2400.0,0.018466666666666666,0.125,0.4411337688071794,2.550000000122333,2.550000000122333,2.271309507473439
2460.0,0.018440333333333333,0.125,0.4367672319228254,2.5500000002065306,2.5500000002065306,2.2656374570616724
2520.0,0.018414,0.125,0.4325710415390763,2.550000000319556,2.550000000319556,2.259989025479252
2580.0,0.018387666666666667,0.125,0.42825788149923744,2.550000000453144,2.550000000453144,2.254363980716744
2640.0,0.018361333333333334,0.125,0.4242002041060541,2.550000000580144,2.550000000580144,2.2487617710547565
2700.0,0.018335,0.125,0.4203605128652,2.550000000638186,2.550000000638186,2.24318012776013
2760.0,0.018308666666666668,0.125,0.41640688433681405,2.550000000507971,2.550000000507971,2.2376190254112394
2820.0,0.018282333333333334,0.125,0.4124117901009943,2.550000000121564,2.550000000121564,2.232079059262038
2880.0,0.018256,0.125,0.4086708140137176,2.550000000066158,2.550000000066158,2.2265587922864363
2940.0,0.01822966666666667,0.125,0.40496305064428495,2.5500000000367424,2.5500000000367424,2.2210578241738967
3000.0,0.018203333333333335,0.125,0.40112357811312693,2.550000000058765,2.550000000058765,2.215575878184202
3060.0,0.018177000000000002,0.125,0.3974524133751106,2.5500000000791667,2.5500000000791667,2.2101127563283156
3120.0,0.01815066666666667,0.125,0.3940939646996914,2.550000000082654,2.550000000082654,2.2046675693808737
3180.0,0.018124333333333333,0.125,0.39102270056745436,2.5500000000373064,2.5500000000373064,2.1992385622334494
3240.0,0.018098,0.125,0.38790579723392876,2.549999999883018,2.549999999883018,2.1938262341857504
3300.0,0.018071666666666666,0.125,0.3848482458141281,2.5499999995140348,2.5499999995140348,2.188429511875045
3360.0,0.018045333333333333,0.125,0.38166251934299694,2.549999998795845,2.549999998795845,2.1830478519026366
