time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,surface,radius_cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999996171,2.548637500737,2.079427449527,1.995766666667
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999073,2.549971341297,2.526868532260,1.923000947252,1.991533333333
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999951,2.549999355804,2.549302000452,2.479205266642,1.815833892044,1.987300000000
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999985077,2.549980984943,2.546196817637,2.416238986711,1.733187780388,1.983066666667
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999649,2.549999503388,2.549845549620,2.538886012567,2.345512369020,1.666113639713,1.978833333333
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999992,2.549999987312,2.549994621972,2.549349578077,2.526464293490,2.271203620404,1.609822320969,1.974600000000
420,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999680,2.549999829449,2.549969543062,2.548131154574,2.508799090859,2.195797185407,1.561342676524,1.970366666667
480,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999992,2.549999994917,2.549998771060,2.549885568123,2.545790792953,2.486217724364,2.120710974785,1.518779267301,1.966133333333
540,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999855,2.549999955335,2.549994178457,2.549674023513,2.541965287603,2.459271507339,2.046758405012,1.481093844936,1.961900000000
600,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999996,2.549999998497,2.549999741593,2.549979490682,2.549236719233,2.536365822459,2.428553021786,1.974361216026,1.447491925947,1.957666666667
