time_s,R_m,half_length_m,C_min_node,Cmax_lower,Cmax_upper,volume_reference_mean
60.0,0.02,0.125,2.1243513056978007,2.5500000000686285,2.5500000000686285,2.537668363375592
120.0,0.02,0.125,1.973107769530961,2.5500000000191942,2.5500000000191942,2.525954727205792
180.0,0.02,0.125,1.8664040653914031,2.550000000058139,2.550000000058139,2.514623106758628
240.0,0.02,0.125,1.782253367916363,2.55000000006773,2.55000000006773,2.50358908714026
300.0,0.02,0.125,1.7128110149721916,2.5500000000503977,2.5500000000503977,2.4928035718832295
360.0,0.02,0.125,1.6537171594687863,2.550000000009323,2.550000000009323,2.4822323810644127
420.0,0.02,0.125,1.6021638326042462,2.5500000000861807,2.5500000000861807,2.4718511109767656
480.0,0.02,0.125,1.5563493591836275,2.5500000000100167,2.5500000000100167,2.4616409129511947
540.0,0.02,0.125,1.5153698000395397,2.5500000000721803,2.5500000000721803,2.4515869215171247
600.0,0.02,0.125,1.4785126105299058,2.550000000031284,2.550000000031284,2.4416761670413294
660.0,0.02,0.125,1.4452086930644565,2.550000000020997,2.550000000020997,2.4318972442400693
720.0,0.02,0.125,1.4147972988995043,2.550000000077166,2.550000000077166,2.4222401761927355
780.0,0.02,0.125,1.3868271513763875,2.55000000005967,2.55000000005967,2.412697169464919
840.0,0.02,0.125,1.360943802346155,2.5499999997343945,2.5499999997343945,2.403261484663572
900.0,0.02,0.125,1.336788813531767,2.5499999987942483,2.5499999987942483,2.3939270718960532
960.0,0.02,0.125,1.3144108116037252,2.5499999954555106,2.5499999954555106,2.3846874987842663
1020.0,0.02,0.125,1.293472013478157,2.5499999852834305,2.5499999852834305,2.375537377785641
1080.0,0.02,0.125,1.274075833727166,2.5499999579468913,2.5499999579468913,2.3664730151763447
1140.0,0.02,0.125,1.2560178248202465,2.549999891862002,2.549999891862002,2.3574892505063536
1200.0,0.02,0.125,1.2390248647918576,2.549999745816436,2.549999745816436,2.3485823301159616
1260.0,0.02,0.125,1.2228778237361468,2.5499994468915155,2.5499994468915155,2.339748604136728
1320.0,0.02,0.125,1.2077456653304064,2.549998874166813,2.549998874166813,2.3309843684508538
1380.0,0.02,0.125,1.1935982455563494,2.549997837983209,2.549997837983209,2.3222870926662544
1440.0,0.02,0.125,1.1800621302395056,2.549996054879297,2.549996054879297,2.3136534942523364
1500.0,0.02,0.125,1.166962492134137,2.5499931185686004,2.5499931185686004,2.3050807652092367
1560.0,0.02,0.125,1.1544666797681489,2.5499884676297158,2.5499884676297158,2.2965673521716274
1620.0,0.02,0.125,1.1425164714472338,2.5499813510784497,2.5499813510784497,2.288110802475463
1680.0,0.02,0.125,1.131054052974193,2.5499707932793947,2.5499707932793947,2.279709295833939
1740.0,0.02,0.125,1.120343711821577,2.5499555593274255,2.5499555593274255,2.2713607192798486
1800.0,0.02,0.125,1.1102387759351715,2.5499341222609244,2.5499341222609244,2.2630628779572906
