时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
59340,0.324241698636,0.323914477836,0.322931530756,0.321288933177,0.318979904005,0.315994419254,0.312318617131,0.307933927656,0.302815819835,0.296931993904,0.290239734501,0.282681940819,0.274180972591,0.264628693616,0.253869456651,0.241668884968,0.227650886424,0.211152390094,0.190812059849,0.162880970138,0.094152100082
59400,0.323927208989,0.323600460899,0.322618932510,0.320978701338,0.318672989392,0.315691777478,0.312021210788,0.307642729245,0.302531815710,0.296656189697,0.289973162667,0.282425671296,0.273936128182,0.264396472787,0.253651168551,0.241466005793,0.227465155976,0.210985991695,0.190667994567,0.162763891310,0.094024089758
59460,0.323613596142,0.323287319465,0.322307205875,0.320669334624,0.318366930819,0.315389980051,0.311724634488,0.307352343942,0.302248605107,0.296381156747,0.289707337104,0.282170120277,0.273691971644,0.264164906218,0.253433497964,0.241263704034,0.227279959239,0.210820079457,0.190524364413,0.162647199038,0.093896644573
59520,0.323300856701,0.322975050146,0.321996347476,0.320360829680,0.318061724957,0.315089023680,0.311428884981,0.307062768547,0.301966184887,0.296106891984,0.289442254817,0.281915284847,0.273448500155,0.263933991184,0.253216442267,0.241061977180,0.227095293813,0.210654651089,0.190381167178,0.162530891063,0.093769761343
59580,0.322988987291,0.322663649568,0.321686353953,0.320053183164,0.317757368494,0.314788905087,0.311133959033,0.306773999880,0.301684551928,0.295833392351,0.289177912823,0.281661162110,0.273205710905,0.263703724974,0.252999998855,0.240860822734,0.226911157315,0.210489704316,0.190238400667,0.162414965142,0.093643436899
59640,0.322677984549,0.322353114374,0.321377221958,0.319746391751,0.317453858130,0.314489621010,0.310839853425,0.306486034771,0.301403703121,0.295560654806,0.288914308155,0.281407749179,0.272963601101,0.263474104890,0.252784165133,0.240660238212,0.226727547373,0.210325236875,0.190096062704,0.162299419053,0.093517668093
59700,0.322367845130,0.322043441221,0.321068948162,0.319440452130,0.317151190584,0.314191168200,0.310546564953,0.306198870068,0.301123635371,0.295288676323,0.288651437862,0.281155043184,0.272722167961,0.263245128248,0.252568938522,0.240460221145,0.226544461631,0.210161246520,0.189954151123,0.162184250589,0.093392451799
59760,0.322058565701,0.321734626783,0.320761529249,0.319135361003,0.316849362585,0.313893543426,0.310254090427,0.305912502632,0.300844345598,0.295017453887,0.288389299004,0.280903041268,0.272481408719,0.263016792379,0.252354316456,0.240260769076,0.226361897746,0.209997731017,0.189812663778,0.162069457561,0.093267784906
59820,0.321750142946,0.321426667745,0.320454961917,0.318831115091,0.316548370880,0.313596743467,0.309962426670,0.305626929339,0.300565830738,0.294746984501,0.288127888656,0.280651740590,0.272241320621,0.262789094627,0.252140296383,0.240061879563,0.226179853388,0.209834688147,0.189671598534,0.161955037798,0.093143664325
59880,0.321442573563,0.321119560809,0.320149242881,0.318527711126,0.316248212231,0.313300765121,0.309671570524,0.305342147078,0.300288087739,0.294477265178,0.287867203908,0.280401138320,0.272001900928,0.262562032349,0.251926875765,0.239863550177,0.225998326242,0.209672115704,0.189530953272,0.161840989146,0.093020086986
59940,0.321135854264,0.320813302693,0.319844368868,0.318225145856,0.315948883412,0.313005605197,0.309381518841,0.305058152755,0.300011113564,0.294208292950,0.287607241864,0.280151231644,0.271763146915,0.262335602916,0.251714052076,0.239665778502,0.225817314006,0.209510011497,0.189390725888,0.161727309467,0.092897049838
60000,0.320829981777,0.320507890129,0.319540336622,0.317923416044,0.315650381213,0.312711260522,0.309092268489,0.304774943288,0.299734905191,0.293940064858,0.287347999641,0.279902017760,0.271525055870,0.262109803714,0.251501822804,0.239468562137,0.225636814391,0.209348373347,0.189250914292,0.161613996641,0.092774549848
60060,0.320524952844,0.320203319860,0.319237142901,0.317622518468,0.315352702439,0.312417727934,0.308803816351,0.304492515610,0.299459459610,0.293672577961,0.287089474370,0.279653493881,0.271287625095,0.261884632140,0.251290185451,0.239271898693,0.225456825120,0.209187199090,0.189111516407,0.161501048563,0.092652584002
60120,0.320220764222,0.319899588650,0.318934784477,0.317322449918,0.315055843909,0.312125004288,0.308516159323,0.304210866668,0.299184773827,0.293405829330,0.286831663196,0.279405657233,0.271050851904,0.261660085605,0.251079137532,0.239075785793,0.225277343933,0.209026486576,0.188972530173,0.161388463145,0.092531149306
60180,0.319917412681,0.319596693271,0.318633258136,0.317023207201,0.314759802456,0.311833086452,0.308229294317,0.303929993423,0.298910844861,0.293139816050,0.286574563277,0.279158505056,0.270814733626,0.261436161535,0.250868676575,0.238880221076,0.225098368580,0.208866233666,0.188833953541,0.161276238317,0.092410242784
60240,0.319614895008,0.319294630515,0.318332560679,0.316724787138,0.314464574928,0.311541971307,0.307943218256,0.303649892851,0.298637669745,0.292874535219,0.286318171785,0.278912034603,0.270579267603,0.261212857367,0.250658800121,0.238685202192,0.224919896825,0.208706438237,0.188695784479,0.161164372024,0.092289861478
60300,0.319313208002,0.318993397184,0.318032688922,0.316427186562,0.314170158186,0.311251655751,0.307657928081,0.303370561941,0.298365245527,0.292609983950,0.286062485907,0.278666243141,0.270344451190,0.260990170553,0.250449505724,0.238490726804,0.224741926445,0.208547098176,0.188558020967,0.161052862226,0.092170002450
60360,0.319012348478,0.318692990096,0.317733639695,0.316130402324,0.313876549106,0.310962136694,0.307373420743,0.303091997695,0.298093569267,0.292346159370,0.285807502841,0.278421127950,0.270110281755,0.260768098555,0.250240790951,0.238296792588,0.224564455229,0.208388211387,0.188420660999,0.160941706901,0.092050662778
60420,0.318712313264,0.318393406085,0.317435409841,0.315834431285,0.313583744579,0.310673411061,0.307089693211,0.302814197130,0.297822638039,0.292083058617,0.285553219801,0.278176686322,0.269876756680,0.260546638853,0.250032653382,0.238103397234,0.224387480981,0.208229775784,0.188283702582,0.160830904041,0.091931839561
60480,0.318413099202,0.318094641996,0.317137996218,0.315539270324,0.313291741508,0.310385475790,0.306806742464,0.302537157277,0.297552448931,0.291820678846,0.285299634012,0.277932915565,0.269643873358,0.260325788934,0.249825090610,0.237910538444,0.224211001516,0.208071789295,0.188147143738,0.160720451655,0.091813529914
60540,0.318114703150,0.317796694690,0.316841395699,0.315244916331,0.313000536810,0.310098327834,0.306524565497,0.302260875181,0.297282999046,0.291559017222,0.285046742713,0.277689812997,0.269411629199,0.260105546303,0.249618100239,0.237718213932,0.224035014661,0.207914249861,0.188010982503,0.160610347767,0.091695730971
60600,0.317817121977,0.317499561042,0.316545605169,0.314951366211,0.312710127419,0.309811964158,0.306243159318,0.301985347898,0.297014285498,0.291298070925,0.284794543156,0.277447375952,0.269180021621,0.259885908475,0.249411679889,0.237526421425,0.223859518258,0.207757155435,0.187875216923,0.160500590416,0.091578439885
