时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
180780,0.158671701484,0.158571232806,0.158269072104,0.157762922513,0.157048840209,0.156121048798,0.154971652619,0.153590216176,0.151963156840,0.150072865205,0.147896411476,0.145403595320,0.142553904838,0.139291562271,0.135536986747,0.131170970048,0.126002333048,0.119692023775,0.111532661884,0.099500556625,0.053406623569
180840,0.158648994365,0.158548550744,0.158246465330,0.157740441616,0.157026536394,0.156098974173,0.154949860532,0.153568761622,0.151942096965,0.150052259957,0.147876324471,0.145384095019,0.142535066223,0.139273469320,0.135519736270,0.131154678045,0.125987146142,0.119678142423,0.111520397273,0.099490529135,0.053404459803
180900,0.158626302120,0.158525883537,0.158223873355,0.157717975425,0.157004247152,0.156076913951,0.154928082638,0.153547321011,0.151921050741,0.150031668027,0.147856250404,0.145364607227,0.142516239637,0.139255387859,0.135502496683,0.131138396252,0.125971968669,0.119664269601,0.111508140091,0.099480507591,0.053402298302
180960,0.158603624733,0.158503231170,0.158201296164,0.157695523923,0.156981972468,0.156054868116,0.154906318923,0.153525894328,0.151900018154,0.150011089399,0.147836189259,0.145345131931,0.142497425068,0.139237317879,0.135485267972,0.131122124657,0.125956800620,0.119650405299,0.111495890329,0.099470491987,0.053400139063
181020,0.158580962189,0.158480593627,0.158178733741,0.157673087096,0.156959712327,0.156032836654,0.154884569370,0.153504481559,0.151878999190,0.149990524060,0.147816141025,0.145325669117,0.142478622502,0.139219259366,0.135468050128,0.131105863251,0.125941641985,0.119636549509,0.111483647982,0.099460482317,0.053397982083
181080,0.158558314472,0.158457970891,0.158156186069,0.157650664927,0.156937466712,0.156010819548,0.154862833965,0.153483082688,0.151857993834,0.149969971996,0.147796105686,0.145306218774,0.142459831928,0.139201212308,0.135450843139,0.131089612021,0.125926492754,0.119622702223,0.111471413041,0.099450478574,0.053395827357
181140,0.158535681565,0.158435362948,0.158133653134,0.157628257400,0.156915235609,0.155988816784,0.154841112692,0.153461697701,0.151837002072,0.149949433192,0.147776083230,0.145286780886,0.142441053332,0.139183176695,0.135433646993,0.131073370959,0.125911352918,0.119608863430,0.111459185498,0.099440480754,0.053393674885
181200,0.158513063453,0.158412769781,0.158111134919,0.157605864500,0.156893019001,0.155966828346,0.154819405537,0.153440326582,0.151816023888,0.149928907635,0.147756073642,0.145267355442,0.142422286702,0.139165152512,0.135416461680,0.131057140052,0.125896222468,0.119595033124,0.111446965347,0.099430488850,0.053391524661
181260,0.158490460120,0.158390191375,0.158088631408,0.157583486212,0.156870816874,0.155944854218,0.154797712484,0.153418969318,0.151795059269,0.149908395310,0.147736076910,0.145247942428,0.142403532026,0.139147139749,0.135399287187,0.131040919292,0.125881101392,0.119581211294,0.111434752579,0.099420502856,0.053389376682
181320,0.158467871550,0.158367627713,0.158066142586,0.157561122519,0.156848629211,0.155922894386,0.154776033519,0.153397625893,0.151774108201,0.149887896203,0.147716093019,0.145228541831,0.142384789290,0.139129138394,0.135382123504,0.131024708667,0.125865989683,0.119567397933,0.111422547188,0.099410522767,0.053387230946
